------------------------------------------------------------------------------

RESULTS FOR THE UNIFORMITY OF P-VALUES AND THE PROPORTION OF PASSING SEQUENCES

------------------------------------------------------------------------------



------------------------------------------------------------------------------

 C1  C2  C3  C4  C5  C6  C7  C8  C9 C10  P-VALUE  PROPORTION  STATISTICAL TEST
  0   0   0   0   0   0   0   0   2  94  0.000000 * 1.0000    Aperiodic-Template

  8  17  16  17  18  13   5   1   1   0  0.000000 * 1.0000    Aperiodic-Template

  0   8  13  19  18  16  10  12   0   0  0.000000 * 1.0000    Aperiodic-Template

 39  21  16   8   9   2   1   0   0   0  0.000000 * 0.9792    Aperiodic-Template

  5  11  19  21   8   8   6  13   5   0  0.000002 * 1.0000    Aperiodic-Template

  0   0   0  10  10  21  25  17   8   5  0.000000 * 1.0000    Aperiodic-Template

  0   3   8  13  19  19  12  12   8   2  0.000001 * 1.0000    Aperiodic-Template

 72  14   9   1   0   0   0   0   0   0  0.000000 * 0.8542 *  Aperiodic-Template

  1   4   4  17  14  13  22  12   6   3  0.000000 * 1.0000    Aperiodic-Template

  0   4   8  11  16  23  14  12   8   0  0.000000 * 1.0000    Aperiodic-Template

  0   1   3   7   3  13  23  29  14   3  0.000000 * 1.0000    Aperiodic-Template

  0   1   2   5   6  16   7  13  21  25  0.000000 * 1.0000    Aperiodic-Template

  3   8   5  14  15  15   9  13   9   5  0.016589   1.0000    Periodic-Template

 55  12   6   2   1   1   7   5   7   0  0.000000 * 0.8958 *  Universal

 96   0   0   0   0   0   0   0   0   0  0.000000 * 0.0000 *  Apen

  3   5   4   2   1   2   1   1   4   2  0.311542   1.0000    Random-Excursion

  5   2   0   4   4   4   3   2   0   1  0.078086   1.0000    Random-Excursion

  5   5   4   2   2   2   2   1   1   1  0.186566   1.0000    Random-Excursion

  3   2   6   1   2   3   2   3   2   1  0.311542   1.0000    Random-Excursion

  4   1   3   3   2   2   4   3   3   0  0.484646   1.0000    Random-Excursion

  2   4   0   1   1   2   4   6   1   4  0.041438   1.0000    Random-Excursion

  0   4   2   2   3   4   1   2   3   4  0.392456   1.0000    Random-Excursion

  2   1   3   4   1   2   3   3   3   3  0.788728   1.0000    Random-Excursion

  2   3   2   1   2   4   1   5   2   3  0.484646   0.9600    Random-Excursion-V

  2   4   1   2   1   3   2   2   3   5  0.484646   0.9600    Random-Excursion-V

  4   2   0   2   1   4   3   3   3   3  0.484646   0.9600    Random-Excursion-V

  3   2   2   0   3   2   4   4   3   2  0.585209   0.9600    Random-Excursion-V

  4   2   0   1   8   0   1   3   4   2  0.001156   0.9600    Random-Excursion-V

  5   5   1   0   2   0   3   4   2   3  0.057146   0.9600    Random-Excursion-V

  4   6   2   1   0   3   3   2   2   2  0.141256   1.0000    Random-Excursion-V

  5   3   0   5   1   2   2   2   3   2  0.186566   0.9600    Random-Excursion-V

  5   3   1   2   1   3   3   3   3   1  0.484646   0.9600    Random-Excursion-V

  3   3   0   5   1   5   2   2   2   2  0.186566   1.0000    Random-Excursion-V

  1   1   7   4   1   3   2   3   1   2  0.041438   1.0000    Random-Excursion-V

  1   2   3   3   3   1   5   3   3   1  0.484646   1.0000    Random-Excursion-V

  0   2   5   3   0   3   3   0   4   5  0.029796   1.0000    Random-Excursion-V

  0   2   3   4   2   3   3   3   2   3  0.689019   1.0000    Random-Excursion-V

  1   2   1   2   5   2   3   3   4   2  0.484646   1.0000    Random-Excursion-V

  1   2   1   6   3   2   2   2   2   4  0.242986   1.0000    Random-Excursion-V

  0   2   0   7   4   3   2   0   5   2  0.002465   1.0000    Random-Excursion-V

  0   1   2   4   5   2   4   4   1   2  0.141256   1.0000    Random-Excursion-V

 70  23   3   0   0   0   0   0   0   0  0.000000 * 1.0000    Serial

  9  61  20   4   2   0   0   0   0   0  0.000000 * 1.0000    Serial

 73   6  10   3   1   2   0   1   0   0  0.000000 * 0.6458 *  Lempel-Ziv

  9  12   8   8  14  10   8   5  11  11  0.648687   1.0000    Linear-Complexity





- - - - - - - - - - - - - - - - - - - - - - - - - - - -- - - - - - - - - - - - -

The minimum pass rate for each statistical test with the exception of the random

excursion (variant) test is approximately = 0.959535 for a sample size = 96

binary sequences.



The minimum pass rate for the random excursion (variant) test is approximately

0.930301 for a sample size = 25 binary sequences.



For further guidelines construct a probability table using the MAPLE program

provided in the addendum section of the documentation.

- - - - - - - - - - - - - - - - - - - - - - - - - - - -- - - - - - - - - - - - -

- - - - - - - - - - - - - - - - - - - - - - - - - - - -- - - - - - - - - - - - -

